otherCatalogNumbers,associatedSequences,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,identificationQualifier,taxonRank,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,waterBody,eventDate,locality,recordedBy
B1500,KP960078 | KP959936,199525,ANSP,NA,PreservedSpecimen,Other material,Ancistrus ranunculus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,ranunculus,"Muller, Rapp Py-Daniel & Zuanon, 1994",NA,species,M. H. Sabaj,-3.331944,-52.17683,Brazil,Pará,Xingu,2012-10-06,"Rio Xingu, small rocky outcrop in main channel, ca. 15 km south of Altamira",M. H. Sabaj et al.
B1988,KP960084 | KP959935,199611,ANSP,NA,PreservedSpecimen,Other material,Ancistrus sp. 'Xingu',Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA,NA,sp. 'Xingu',genus,M. H. Sabaj,-3.651111,-52.37861,Brazil,Pará,Xingu,2012-10-09,"Rio Xingu, Cachoeira do Espelho, ca. 50 km south-southwest Altamira",M. H. Sabaj et al.
P4647,KP960101 | KP960037,43726,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,2.15095,-66.45229,Venezuela,Amazonas,Casiquiare,2005-03-19,"Casiquiare Canal, left bank upstream from mouth of Siapa",N. K. Lujan et al.
P6125,KP960091 | KP960030,45548,AUM,Fish,PreservedSpecimen,Other material,Lasiancistrus schomburgkii,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,schomburgkii,"(Günther, 1864)",NA,species,N. K. Lujan,-4.58957,-77.85283,Peru,Amazonas,Marañón,2006-08-03,"Río Marañón, 1.57 km ENE of Juan Velasco (Sta Maria de Nieva)",N. K. Lujan et al.
T09282,KP960099 | KP960041,53520,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus anthrax,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,4.38418,-67.77473,Venezuela,Amazonas,Orinoco,2010-03-26,"Río Orinoco, Paso Ganado, 38 km NNW of San Fernando de Atabapo",N. K. Lujan et al.
T09376,KP960095 | KP960035,57674,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus tigris,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,tigris,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,3.88218,-67.01362,Venezuela,Amazonas,Orinoco,2010-03-30,"Río Orinoco, rock outcropping upstream of Isla Moya, 79 km E of San Fernando de Atabapo",N. K. Lujan et al.
T09397,KP960083 | KP959934,54994,AUM,Fish,PreservedSpecimen,Other material,Ancistrus macrophthalmus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,macrophthalmus,"(Pellegrin, 1912)",NA,species,N. K. Lujan,3.88218,-67.01362,Venezuela,Amazonas,Orinoco,2010-03-30,"Río Orinoco, rock outcropping upstream of Isla Moya, 79 km E of San Fernando de Atabapo",N. K. Lujan et al.
T09512,KP960097 | KP960042,190757,ANSP,NA,PreservedSpecimen,Other material,Pseudolithoxus dumus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,dumus,"(Armbruster & Provenzano, 2000)",NA,species,M. H. Sabaj,4.06825,-66.90369,Venezuela,Amazonas,Ventuari (Orinoco),2010-04-01,"Río Ventuari, Raudales Chipirito, 88.5 km E of San Fernando de Atabapo",M. H. Sabaj et al.
T09686,KP960092 | KP960028,53895,AUM,Fish,PreservedSpecimen,Other material,Lasiancistrus tentaculatus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,tentaculatus,Armbruster 2005,NA,species,N. K. Lujan,5.34648,-66.03328,Venezuela,Amazonas,Ventuari (Orinoco),2010-04-11,"Río Parucito, Raudales Solomon",V. Meza et al.
T09895,KP960096 | KP960036,51644,AUM,Fish,PreservedSpecimen,Paratype,Pseudolithoxus kelsorum,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kelsorum,"Lujan & Birindelli, 2011",NA,species,N. K. Lujan,4.9178,-67.83294,Venezuela,Amazonas,Orinoco,2010-04-18,"Río Orinoco at Merey, 97.6 km N of San Fernando de Atabapo",J. Birindelli et al.
T09934,KP960098 | KP960040,53557,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus anthrax,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,7.07277,-64.99646,Venezuela,Amazonas,Caura (Orinoco),2010-04-24,"Río Caura, Las Trincheras",N. K. Lujan et al.
T10092,KP960080 | KP959930,51165,AUM,Fish,PreservedSpecimen,Other material,Ancistrus megalostomus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,megalostomus,"Pearson, 1924",NA,species,N. K. Lujan,-13.26338,-70.78007,Peru,Cusco,Araza (Madre de Dios),2010-07-23,"Río Araza, orilla derecha, justo encima del puente pasando Quincemil",N. K. Lujan et al.
T10093,MG800702 | MG800742,51165,AUM,Fish,PreservedSpecimen,Other material,Ancistrus megalostomus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,megalostomus,"Pearson, 1924",NA,species,N. K. Lujan,-13.26338,-70.78007,Peru,Cusco,Araza (Madre de Dios),2010-07-23,"Río Araza, orilla derecha, justo encima del puente pasando Quincemil",N. K. Lujan et al.
T10383,KP960082 | KP959932,57510,AUM,Fish,PreservedSpecimen,Other material,Ancistrus sp. 'Inambari',Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA,NA,sp. 'Inambari',genus,N. K. Lujan,-12.78514,-70.00994,Peru,Madre de Dios,Inambari (Madre de Dios),2010-08-05,Río Inambari,N. K. Lujan et al.
T12872,KP960081 | KP959931,90368,ROM,Fishes,PreservedSpecimen,Other material,Ancistrus bolivianus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,bolivianus,"(Steindachner, 1915)",NA,species,N. K. Lujan,-17.01623,-65.65195,Bolivia,Cochabamba,San Pedrito (Mamoré),2011-07-23,"San Pedrito River, bridge on Cochabamba-Villa Tunari road",N. K. Lujan et al.
T13829,KP960085 | KP959929,93737,ROM,Fishes,PreservedSpecimen,Other material,Ancistrus clementinae,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,clementinae,"Rendahl, 1937",NA,species,N. K. Lujan,-1.680472,-79.38992,Ecuador,Los Rios,Clara,2012-08-26,"Clara River, La Clara, around bridge and downstream",N. K. Lujan et al.
V055,KP960100 | KP960039,39246,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus anthrax,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,4.08042,-66.86513,Venezuela,Amazonas,Ventuari (Orinoco),2004-04-05,"Río Ventuari, 23 km NE of Macuruco, 94 km E of San Fernando de Atabapo",N. K. Lujan et al.
B1470,MG800703 | MG800743,199692,ANSP,NA,PreservedSpecimen,Other material,Lasiancistrus schomburgkii,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,schomburgkii,"(Günther, 1864)",NA,species,M. H. Sabaj,-3.455833,-52.926111,Brazil,Pará,Jarauacu (Xingu),2012-10-05,"Rio Jarauacu, prox. a Medicilandia",M. H. Sabaj et al.
B1471,MG800704 | MG800744,199692,ANSP,NA,PreservedSpecimen,Other material,Lasiancistrus schomburgkii,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,schomburgkii,"(Günther, 1864)",NA,species,M. H. Sabaj,-3.455833,-52.926111,Brazil,Pará,Jarauacu (Xingu),2012-10-05,"Rio Jarauacu, prox. a Medicilandia",M. H. Sabaj et al.
B1499,MG800705 | MG800745,199525,ANSP,NA,PreservedSpecimen,Other material,Ancistrus ranunculus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,ranunculus,"Muller, Rapp Py-Daniel & Zuanon, 1994",NA,species,M. H. Sabaj,-3.331944,-52.17683,Brazil,Pará,Xingu,2012-10-06,"Rio Xingu, small rocky outcrop in main channel, ca. 15 km south of Altamira",M. H. Sabaj et al.
B2049,MG800706 | MG800746,193063,ANSP,NA,PreservedSpecimen,Other material,Ancistrus sp. 'Xingu',Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA,NA,sp. 'Xingu',genus,M. H. Sabaj,-3.382139,-51.7365,Brazil,Pará,Xingu,2012-10-13,Praia do Caju and rock outcrops upstream of Cachoeira do Jericoa,M. H. Sabaj et al.
P6123,MG800707 | MG800747,45548,AUM,Fish,PreservedSpecimen,Other material,Lasiancistrus schomburgkii,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,schomburgkii,"(Günther, 1864)",NA,species,N. K. Lujan,-4.58957,-77.85283,Peru,Amazonas,Marañón,2006-08-03,"Río Marañón, 1.57 km ENE of Juan Velasco (Sta Maria de Nieva)",N. K. Lujan et al.
T07157,MG800708 | MG800748,88362,ROM,Fishes,PreservedSpecimen,Other material,Pseudolithoxus tigris,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,tigris,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,NA,NA,NA,NA,NA,NA,NA,O. Lucanus
T09399,MG800709 | MG800749,54992,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus anthrax,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,3.88218,-67.01362,Venezuela,Amazonas,Orinoco,2010-03-30,"Río Orinoco, rock outcropping upstream of Isla Moya, 79 km E of San Fernando de Atabapo",N. K. Lujan et al.
T09471,MG800710 | MG800750,190753,ANSP,NA,PreservedSpecimen,Other material,Ancistrus macrophthalmus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,macrophthalmus,"(Pellegrin, 1912)",NA,species,N. K. Lujan,4.06825,-66.90369,Venezuela,Amazonas,Ventuari (Orinoco),2010-04-01,"Río Ventuari (Orinoco Dr.), at Raudales Chipirito, 88.5 km east of San Fernando de Atabapo",N. K. Lujan et al.
T09536,MG800711 | MG800751,54311,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus dumus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,dumus,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,4.29481,-66.28888,Venezuela,Amazonas,Ventuari (Orinoco),2010-04-02,"Caño Marujeta, 159 km E of San Fernando de Atabapo",N. K. Lujan et al.
T09687,MG800712 | MG800752,53895,AUM,Fish,PreservedSpecimen,Other material,Lasiancistrus tentaculatus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,tentaculatus,Armbruster 2005,NA,species,N. K. Lujan,5.34648,-66.03328,Venezuela,Amazonas,Ventuari (Orinoco),2010-04-11,"Río Parucito, Raudales Solomon",V. Meza et al.
T09898,MG800713 | MG800753,51644,AUM,Fish,PreservedSpecimen,Paratype,Pseudolithoxus kelsorum,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kelsorum,"Lujan & Birindelli, 2011",NA,species,N. K. Lujan,4.9178,-67.83294,Venezuela,Amazonas,Orinoco,2010-04-18,"Río Orinoco at Merey, 97.6 km N of San Fernando de Atabapo",J. Birindelli et al.
T10364,MG800714 | MG800754,57477,AUM,Fish,PreservedSpecimen,Other material,Ancistrus sp. 'Inambari',Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA,NA,sp. 'Inambari',genus,N. K. Lujan,-12.7689,-70.00002,Peru,Madre de Dios,Inambari (Madre de Dios),2010-08-03,"Río Inambari, Peru",N. K. Lujan et al.
T12871,MG800715 | MG800755,90368,ROM,Fishes,PreservedSpecimen,Other material,Ancistrus bolivianus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,bolivianus,"(Steindachner, 1915)",NA,species,N. K. Lujan,-17.01623,-65.65195,Bolivia,Cochabamba,San Pedrito (Mamoré),2011-07-23,"San Pedrito River, bridge on Cochabamba-Villa Tunari road, Bolivia",N. K. Lujan et al.
T13826,MG800716 | MG800756,93737,ROM,Fishes,PreservedSpecimen,Other material,Ancistrus clementinae,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,clementinae,"Rendahl, 1937",NA,species,N. K. Lujan,-1.680472,-79.38992,Ecuador,Los Rios,Clara,2012-08-26,"Clara River, La Clara, around bridge and downstream",N. K. Lujan et al.
T13832,MG800717 | NA,93737,ROM,Fishes,PreservedSpecimen,Other material,Ancistrus clementinae,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,clementinae,"Rendahl, 1937",NA,species,N. K. Lujan,-1.680472,-79.38992,Ecuador,Los Rios,Clara,2012-08-26,"Clara River, La Clara, around bridge and downstream",N. K. Lujan et al.
V5293,MG800718 | MG800757,42215,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus tigris,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,tigris,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,4.07565,-66.89285,Venezuela,Amazonas,Ventuari (Orinoco),2005-04-03,"Río Ventuari, near ornamental fish market in the river",N. K. Lujan et al.
14422,MG800719 | MG800758,43889,INPA,ICT,PreservedSpecimen,Paratype,Pseudolithoxus kinja,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,species,R. A. Collins,-1.71782,-57.36856,Brazil,Pará,Nhamundá,2013-10-31,"Acima da cidade de Nhamundá, abaixo da Lagoa Sete Ilhas",V. N. Machado et al.
14482,MG800720 | MG800759,43889,INPA,ICT,PreservedSpecimen,Paratype,Pseudolithoxus kinja,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,species,R. A. Collins,-1.71782,-57.36856,Brazil,Pará,Nhamundá,2013-10-31,"Acima da cidade de Nhamundá, abaixo da Lagoa Sete Ilhas",V. N. Machado et al.
14483,MG800721 | MG800760,43889,INPA,ICT,PreservedSpecimen,Paratype,Pseudolithoxus kinja,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,species,R. A. Collins,-1.71782,-57.36856,Brazil,Pará,Nhamundá,2013-10-31,"Acima da cidade de Nhamundá, abaixo da Lagoa Sete Ilhas",V. N. Machado et al.
14484,MG800722 | MG800761,43889,INPA,ICT,PreservedSpecimen,Paratype,Pseudolithoxus kinja,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,species,R. A. Collins,-1.71782,-57.36856,Brazil,Pará,Nhamundá,2013-10-31,"Acima da cidade de Nhamundá, abaixo da Lagoa Sete Ilhas",V. N. Machado et al.
14485,MG800723 | MG800762,43889,INPA,ICT,PreservedSpecimen,Paratype,Pseudolithoxus kinja,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,species,R. A. Collins,-1.71782,-57.36856,Brazil,Pará,Nhamundá,2013-10-31,"Acima da cidade de Nhamundá, abaixo da Lagoa Sete Ilhas",V. N. Machado et al.
P161,MG800724 | MG800763,46102,INPA,ICT,PreservedSpecimen,Paratype,Pseudolithoxus kinja,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,species,A. G. Bifi,-0.887778,-59.574444,Brazil,Amazonas,Pitinga (Uatumã),2014-09-19,"Rio Pitinga, corredeira 40 ilhas",J. Birindelli et al.
P162,MG800725 | MG800764,16865,MZUEL,Peixes,PreservedSpecimen,Paratype,Pseudolithoxus kinja,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kinja,"Bifi, de Oliveira, Rapp Py-Daniel & Collins, 2018",NA,species,A. G. Bifi,-0.887778,-59.574444,Brazil,Amazonas,Pitinga (Uatumã),2014-09-19,"Rio Pitinga, corredeira 40 ilhas",J. Birindelli et al.
P18038,MG800726 | MG800765,42767,INPA,ICT,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,A. G. Bifi,-0.1319444,-67.0688889,Brazil,Amazonas,Negro,2013-12-01,"Rio Negro, Igarapé da Cachoeirinha. (NEG 03)",P. Charvert et al.
P18043,MG800727 | MG800766,42767,INPA,ICT,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,A. G. Bifi,-0.1319444,-67.0688889,Brazil,Amazonas,Negro,2013-12-01,"Rio Negro, Igarapé da Cachoeirinha. (NEG 03)",P. Charvert et al.
P18073,MG800728 | MG800767,42907,INPA,ICT,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,A. G. Bifi,-0.0097222,-67.2016667,Brazil,Amazonas,Negro,2013-12-03,"Rio Negro, Pedral 3. (NEG 14)",D. A. Bastos & P. M. Ito
T027,MG800729 | MG800768,49502,INPA,ICT,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,A. G. Bifi,0.09598,-67.33688,Brazil,Amazonas,Uaupés (Negro),2015-02-23,"Rio Uaupés, pedral na boca do rio Uaupés",P. Charvert & D. A. Bastos
T078,MG800730 | MG800769,49604,INPA,ICT,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,A. G. Bifi,0.02908,-67.27429,Brazil,Amazonas,Negro,2015-02-24,"Rio Negro, acima da ilha das Flores, SGC.",D. A. Bastos & A. G. Bifi
T09841,MG800731 | MG800770,182278,ANSP,NA,PreservedSpecimen,Other material,Pseudolithoxus anthrax,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,species,M. H. Sabaj,3.973889,-67.16278,Venezuela,Amazonas,Orinoco,2005-03-03,Purchased from ornamental fisherman at site on R. Orinoco 60 km E of San Fernando de Atabapo (collected in vicinity),M. H. Sabaj et al.
T09842,MG800732 | MG800771,182278,ANSP,NA,PreservedSpecimen,Other material,Pseudolithoxus anthrax,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,species,M. H. Sabaj,3.973889,-67.16278,Venezuela,Amazonas,Orinoco,2005-03-03,Purchased from ornamental fisherman at site on R. Orinoco 60 km E of San Fernando de Atabapo (collected in vicinity),M. H. Sabaj et al.
T09870,MG800733 | MG800772,185263,ANSP,NA,PreservedSpecimen,Other material,Pseudolithoxus tigris,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,tigris,"(Armbruster & Provenzano, 2000)",NA,species,M. H. Sabaj,3.967222,-67.25333,Venezuela,Amazonas,Orinoco,2005-03-03,"Río Orinoco, 50 km east of San Fernando de Atabapo",M. H. Sabaj et al.
T09938,MG800734 | MG800773,185263,ANSP,NA,PreservedSpecimen,Other material,Pseudolithoxus tigris,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,tigris,"(Armbruster & Provenzano, 2000)",NA,species,M. H. Sabaj,3.967222,-67.25333,Venezuela,Amazonas,Orinoco,2005-03-03,"Río Orinoco, 50 km east of San Fernando de Atabapo",M. H. Sabaj et al.
T09949,MG800735 | MG800774,185255,ANSP,NA,PreservedSpecimen,Other material,Pseudolithoxus dumus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,dumus,"(Armbruster & Provenzano, 2000)",NA,species,M. H. Sabaj,3.306667,-66.60333,Venezuela,Amazonas,Orinoco,2005-03-04,"Río Orinoco, 147 km southeast of San Fernando de Atabapo",M. H. Sabaj et al.
T09951,MG800736 | MG800775,43267,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus dumus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,dumus,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,3.306667,-66.60333,Venezuela,Amazonas,Orinoco,2005-03-04,"Río Orinoco, 147 km southeast of San Fernando de Atabapo",N. K. Lujan et al.
T148,MG800737 | MG800776,49832,INPA,ICT,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,A. G. Bifi,-0.11323,-66.87389,Brazil,Amazonas,Miuá (Negro),2015-02-28,"Rio Miuá, pedral",D. A. Bastos & A. G. Bifi
T149,MG800738 | MG800777,49832,INPA,ICT,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,A. G. Bifi,-0.11323,-66.87389,Brazil,Amazonas,Miuá (Negro),2015-02-28,"Rio Miuá, pedral",D. A. Bastos & A. G. Bifi
T151,MG800739 | MG800778,49832,INPA,ICT,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,A. G. Bifi,-0.11323,-66.87389,Brazil,Amazonas,Miuá (Negro),2015-02-28,"Rio Miuá, pedral",D. A. Bastos & A. G. Bifi
T152,MG800740 | MG800779,49832,INPA,ICT,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,A. G. Bifi,-0.11323,-66.87389,Brazil,Amazonas,Miuá (Negro),2015-02-28,"Rio Miuá, pedral",D. A. Bastos & A. G. Bifi
T153,MG800741 | MG800780,49832,INPA,ICT,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,A. G. Bifi,-0.11323,-66.87389,Brazil,Amazonas,Miuá (Negro),2015-02-28,"Rio Miuá, pedral",D. A. Bastos & A. G. Bifi
